,class,attribute,visibility,name,getter,index,internal,nullness,n,constructor,documentation,documentation.method.found,documentation.class.found,documentation.description,documentation.throws
136,com.google.common.base.Converter$1,method,private,<init>(Lcom/google/common/base/Converter;Ljava/lang/Iterable;),false,1,true,NON_NULL,1,,,False,,,
137,com.google.common.base.Converter$1$1,method,private,<init>(Lcom/google/common/base/Converter$1;),false,0,true,NON_NULL,1,,,False,,,
138,com.google.common.base.Converter$ConverterComposition,method,private,<init>(Lcom/google/common/base/Converter;Lcom/google/common/base/Converter;),false,0,true,NON_NULL,1,,,False,,,
139,com.google.common.base.Converter$ConverterComposition,method,private,<init>(Lcom/google/common/base/Converter;Lcom/google/common/base/Converter;),false,1,true,NON_NULL,1,,,False,,,
140,com.google.common.base.Converter$FunctionBasedConverter,method,private,<init>(Lcom/google/common/base/Function;Lcom/google/common/base/Function;Lcom/google/common/base/Converter$1;),false,0,true,UNKNOWN,1,,,False,,,
141,com.google.common.base.Converter$FunctionBasedConverter,method,private,<init>(Lcom/google/common/base/Function;Lcom/google/common/base/Function;Lcom/google/common/base/Converter$1;),false,1,true,UNKNOWN,1,,,False,,,
142,com.google.common.base.Converter$FunctionBasedConverter,method,private,<init>(Lcom/google/common/base/Function;Lcom/google/common/base/Function;Lcom/google/common/base/Converter$1;),false,2,true,NULL,1,,,False,,,
143,com.google.common.base.Converter$ReverseConverter,method,private,<init>(Lcom/google/common/base/Converter;),false,0,true,NON_NULL,1,,,False,,,
144,com.google.common.base.Defaults,method,public,defaultValue(Ljava/lang/Class;),false,0,false,UNKNOWN,1,False,False,True,True,True,False
145,com.google.common.base.Enums,method,private,getEnumConstants(Ljava/lang/Class;),false,-1,true,UNKNOWN,1,False,,False,True,,
146,com.google.common.base.Enums,method,private,getEnumConstants(Ljava/lang/Class;),false,0,true,UNKNOWN,1,False,,False,True,,
147,com.google.common.base.Enums,method,public,getIfPresent(Ljava/lang/Class;Ljava/lang/String;),false,-1,false,UNKNOWN,2,False,False,True,True,False,False
148,com.google.common.base.Enums,method,public,getIfPresent(Ljava/lang/Class;Ljava/lang/String;),false,0,false,NON_NULL,2,False,False,True,True,False,False
149,com.google.common.base.Enums,method,public,getIfPresent(Ljava/lang/Class;Ljava/lang/String;),false,1,false,NON_NULL,2,False,False,True,True,False,False
150,com.google.common.base.Enums$StringConverter,method,private,<init>(Ljava/lang/Class;),false,0,true,UNKNOWN,1,,,False,,,
