,class,attribute,visibility,name,getter,index,internal,nullness,n,constructor,documentation
164,java.awt.Graphics,method,public,drawImage(Ljava/awt/Image;IILjava/awt/image/ImageObserver;),false,2,false,NON_NULL,83,False,NOT_MENTIONED
165,java.awt.Graphics,method,public,drawImage(Ljava/awt/Image;IILjava/awt/image/ImageObserver;),false,3,false,NULL,83,False,NOT_MENTIONED
166,java.awt.Graphics,method,public,drawLine(IIII),false,0,false,NON_NULL,44,False,NOT_MENTIONED
167,java.awt.Graphics,method,public,drawLine(IIII),false,1,false,NON_NULL,44,False,NOT_MENTIONED
168,java.awt.Graphics,method,public,drawLine(IIII),false,2,false,NON_NULL,44,False,NOT_MENTIONED
169,java.awt.Graphics,method,public,drawLine(IIII),false,3,false,NON_NULL,44,False,NOT_MENTIONED
170,java.awt.Graphics,method,public,drawRect(IIII),false,0,false,NON_NULL,14,False,NOT_MENTIONED
171,java.awt.Graphics,method,public,drawRect(IIII),false,1,false,NON_NULL,14,False,NOT_MENTIONED
172,java.awt.Graphics,method,public,drawRect(IIII),false,2,false,NON_NULL,14,False,NOT_MENTIONED
173,java.awt.Graphics,method,public,drawRect(IIII),false,3,false,NON_NULL,14,False,NOT_MENTIONED
174,java.awt.Graphics,method,public,fillRect(IIII),false,0,false,NON_NULL,61,False,NOT_MENTIONED
175,java.awt.Graphics,method,public,fillRect(IIII),false,1,false,NON_NULL,61,False,NOT_MENTIONED
176,java.awt.Graphics,method,public,fillRect(IIII),false,2,false,NON_NULL,61,False,NOT_MENTIONED
177,java.awt.Graphics,method,public,fillRect(IIII),false,3,false,NON_NULL,61,False,NOT_MENTIONED
178,java.awt.Graphics,method,public,getFontMetrics(),false,-1,false,UNKNOWN,4,False,NOT_MENTIONED
179,java.awt.Graphics,method,public,setColor(Ljava/awt/Color;),false,0,false,NON_NULL,22,False,NOT_MENTIONED
180,java.awt.Graphics,method,public,setColor(Ljava/awt/Color;),false,0,false,UNKNOWN,56,False,NOT_MENTIONED
181,java.awt.Graphics,method,public,setFont(Ljava/awt/Font;),false,0,false,NON_NULL,5,False,MENTIONED_IN_GENERAL
182,java.awt.Graphics2D,method,public,clip(Ljava/awt/Shape;),false,0,false,NON_NULL,11,False,MENTIONED_IN_GENERAL
183,java.awt.Graphics2D,method,public,drawString(Ljava/lang/String;II),false,0,false,UNKNOWN,6,False,NOT_MENTIONED
184,java.awt.Graphics2D,method,public,drawString(Ljava/lang/String;II),false,1,false,NON_NULL,6,False,NOT_MENTIONED
185,java.awt.Graphics2D,method,public,drawString(Ljava/lang/String;II),false,2,false,NON_NULL,6,False,NOT_MENTIONED
186,java.awt.Graphics2D,method,public,rotate(DDD),false,0,false,NON_NULL,2,False,NOT_MENTIONED
187,java.awt.Graphics2D,method,public,rotate(DDD),false,1,false,NON_NULL,2,False,NOT_MENTIONED
188,java.awt.Graphics2D,method,public,rotate(DDD),false,2,false,NON_NULL,2,False,NOT_MENTIONED
189,java.awt.Graphics2D,method,public,setBackground(Ljava/awt/Color;),false,0,false,NON_NULL,3,False,NOT_MENTIONED
190,java.awt.Graphics2D,method,public,setComposite(Ljava/awt/Composite;),false,0,false,UNKNOWN,43,False,NOT_MENTIONED
191,java.awt.Graphics2D,method,public,setRenderingHint(Ljava/awt/RenderingHints$Key;Ljava/lang/Object;),false,0,false,UNKNOWN,111,False,METHOD_NOT_FOUND
192,java.awt.Graphics2D,method,public,setRenderingHint(Ljava/awt/RenderingHints$Key;Ljava/lang/Object;),false,1,false,UNKNOWN,111,False,METHOD_NOT_FOUND
193,java.awt.Graphics2D,method,public,setStroke(Ljava/awt/Stroke;),false,0,false,UNKNOWN,11,False,NOT_MENTIONED
