"","rootClass","class","name","getter","use","index","nullness.jaif","nullness.actual","nullness.usage.null","nullness.usage.non.null","nullness.usage.unknown","n.usage","nullability.evidence","nullability","nullness.usage"
"39","com.google.common.collect.ImmutableCollection$Builder","com.google.common.collect.ImmutableMultiset$Builder","add(Ljava/lang/Object;)",FALSE,"return",-1,"NonNull","NonNull",0,0,12,12,0,0,"NonNull"
"40","com.google.common.collect.ImmutableCollection$Builder","com.google.common.collect.ImmutableMultiset$Builder","add([Ljava/lang/Object;)",FALSE,"return",-1,"NonNull","NonNull",0,0,2,2,0,0,"NonNull"
"41","com.google.common.collect.ImmutableCollection$Builder","com.google.common.collect.ImmutableSet$Builder","add(Ljava/lang/Object;)",FALSE,"return",-1,"NonNull","NonNull",0,0,9,9,0,0,"NonNull"
"42","com.google.common.collect.ImmutableCollection$Builder","com.google.common.collect.ImmutableSet$Builder","add([Ljava/lang/Object;)",FALSE,"return",-1,"NonNull","NonNull",0,0,6,6,0,0,"NonNull"
"43","com.google.common.collect.ImmutableCollection$Builder","com.google.common.collect.ImmutableSet$Builder","addAll(Ljava/lang/Iterable;)",FALSE,"return",-1,"NonNull","NonNull",0,0,6,6,0,0,"NonNull"
"44","com.google.common.collect.ImmutableCollection$Builder","com.google.common.collect.ImmutableSet$Builder","addAll(Ljava/util/Iterator;)",FALSE,"return",-1,"NonNull","NonNull",0,0,2,2,0,0,"NonNull"
"45","com.google.common.collect.ImmutableCollection$Builder","com.google.common.collect.ImmutableSortedSet$Builder","add([Ljava/lang/Object;)",FALSE,"return",-1,"NonNull","NonNull",0,0,15,15,0,0,"NonNull"
"46","com.google.common.collect.ImmutableCollection$Builder","com.google.common.collect.ImmutableSortedSet$Builder","addAll(Ljava/util/Iterator;)",FALSE,"return",-1,"NonNull","NonNull",0,0,6,6,0,0,"NonNull"
"47","com.google.common.collect.ImmutableCollection$Builder","com.google.common.collect.ImmutableSortedSet$Builder","build()",FALSE,"return",-1,"NonNull","NonNull",0,0,15,15,0,0,"NonNull"
"48","com.google.common.collect.ImmutableList","com.google.common.collect.ImmutableList","builder()",FALSE,"return",-1,"NonNull","NonNull",0,0,133,133,0,0,"NonNull"
