"","rootClass","class","attribute","name","index","nullness.reduced","nullness.annotated","nullness"
"147","com.google.common.collect.MapDifference","com.google.common.collect.SortedMapDifference","method","entriesInCommon()",-1,"Nullable","NonNull","Nullable"
"148","com.google.common.collect.MapDifference","com.google.common.collect.SortedMapDifference","method","entriesOnlyOnLeft()",-1,"Nullable","NonNull","Nullable"
"149","com.google.common.collect.MapDifference","com.google.common.collect.SortedMapDifference","method","entriesOnlyOnRight()",-1,"Nullable","NonNull","Nullable"
"150","com.google.common.collect.Maps$DescendingMap","com.google.common.collect.AbstractNavigableMap$DescendingMap","method","entryIterator()",-1,"Nullable","NonNull","Nullable"
"151","com.google.common.collect.Maps$DescendingMap","com.google.common.collect.ForwardingNavigableMap$StandardDescendingMap","method","entryIterator()",-1,"Nullable","NonNull","Nullable"
"152","com.google.common.collect.Maps$DescendingMap","com.google.common.collect.AbstractNavigableMap$DescendingMap","method","forward()",-1,"Nullable","NonNull","Nullable"
"153","com.google.common.collect.Maps$DescendingMap","com.google.common.collect.ForwardingNavigableMap$StandardDescendingMap","method","forward()",-1,"Nullable","NonNull","Nullable"
"154","com.google.common.collect.Maps$EntrySet","com.google.common.collect.AbstractMapBasedMultimap$AsMap$AsMapEntries","method","map()",-1,"Nullable","NonNull","Nullable"
"155","com.google.common.collect.Maps$EntrySet","com.google.common.collect.FilteredEntryMultimap$AsMap$1EntrySetImpl","method","map()",-1,"Nullable","NonNull","Nullable"
"156","com.google.common.collect.Maps$EntrySet","com.google.common.collect.TreeRangeMap$SubRangeMap$SubRangeMapAsMap$2","method","map()",-1,"Nullable","NonNull","Nullable"
"157","com.google.common.collect.Maps$EntrySet","com.google.common.collect.WellBehavedMap$EntrySet","method","map()",-1,"Nullable","NonNull","Nullable"
"158","com.google.common.collect.Maps$IteratorBasedAbstractMap","com.google.common.collect.ArrayTable$ArrayMap","method","entryIterator()",-1,"Nullable","NonNull","Nullable"
"159","com.google.common.collect.Maps$IteratorBasedAbstractMap","com.google.common.collect.StandardTable$Row","method","entryIterator()",-1,"Nullable","NonNull","Nullable"
"160","com.google.common.collect.Maps$IteratorBasedAbstractMap","com.google.common.collect.TreeRangeMap$AsMapOfRanges","method","entryIterator()",-1,"Nullable","NonNull","Nullable"
"161","com.google.common.collect.Maps$IteratorBasedAbstractMap","com.google.common.collect.TreeRangeSet$ComplementRangesByLowerBound","method","entryIterator()",-1,"Nullable","NonNull","Nullable"
"162","com.google.common.collect.Maps$IteratorBasedAbstractMap","com.google.common.collect.TreeRangeSet$RangesByUpperBound","method","entryIterator()",-1,"Nullable","NonNull","Nullable"
"163","com.google.common.collect.Maps$IteratorBasedAbstractMap","com.google.common.collect.TreeRangeSet$SubRangeSetRangesByLowerBound","method","entryIterator()",-1,"Nullable","NonNull","Nullable"
